field.Element:Text;field.Attribute:name;Attribute:type;TargetTrialID
0;index;DialogTableEntry;
"Tallying conquest results...≺Prompt≻
";text;DialogTableEntry;
1;index;DialogTableEntry;
"Conquest results tallied.≺Prompt≻
";text;DialogTableEntry;
2;index;DialogTableEntry;
"This region is currently under San d'Orian control.≺Prompt≻
";text;DialogTableEntry;
3;index;DialogTableEntry;
"This region is currently under Bastokan control.≺Prompt≻
";text;DialogTableEntry;
4;index;DialogTableEntry;
"This region is currently under Windurstian control.≺Prompt≻
";text;DialogTableEntry;
5;index;DialogTableEntry;
"This region is currently under beastman control.
You cannot obtain crystals in this region.≺Prompt≻
";text;DialogTableEntry;
6;index;DialogTableEntry;
"This region is currently neutral.≺Prompt≻
";text;DialogTableEntry;
7;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria
2nd: Windurst
3rd: Bastok≺Prompt≻
";text;DialogTableEntry;
8;index;DialogTableEntry;
"All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
9;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria and Windurst (tie)
3rd: Bastok≺Prompt≻
";text;DialogTableEntry;
10;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria
2nd: Bastok and Windurst (tie)≺Prompt≻
";text;DialogTableEntry;
11;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria
2nd: Bastok
3rd: Windurst≺Prompt≻
";text;DialogTableEntry;
12;index;DialogTableEntry;
"All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
13;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria and Bastok (tie)
3rd: Windurst≺Prompt≻
";text;DialogTableEntry;
14;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria
2nd: Bastok and Windurst (tie)≺Prompt≻
";text;DialogTableEntry;
15;index;DialogTableEntry;
"Global balance of power:
1st: Bastok
2nd: San d'Oria
3rd: Windurst≺Prompt≻
";text;DialogTableEntry;
16;index;DialogTableEntry;
"All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
17;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria and Bastok (tie)
3rd: Windurst≺Prompt≻
";text;DialogTableEntry;
18;index;DialogTableEntry;
"Global balance of power:
1st: Bastok
2nd: San d'Oria and Windurst (tie)≺Prompt≻
";text;DialogTableEntry;
19;index;DialogTableEntry;
"Global balance of power:
1st: Bastok
2nd: Windurst
3rd: San d'Oria≺Prompt≻
";text;DialogTableEntry;
20;index;DialogTableEntry;
"All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
21;index;DialogTableEntry;
"Global balance of power:
1st: Bastok and Windurst (tie)
3rd: San d'Oria≺Prompt≻
";text;DialogTableEntry;
22;index;DialogTableEntry;
"Global balance of power:
1st: Bastok
2nd: San d'Oria and Windurst (tie)≺Prompt≻
";text;DialogTableEntry;
23;index;DialogTableEntry;
"Global balance of power:
1st: Windurst
2nd: San d'Oria
3rd: Bastok≺Prompt≻
";text;DialogTableEntry;
24;index;DialogTableEntry;
"Global balance of power:
All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
25;index;DialogTableEntry;
"Global balance of power:
1st: San d'Oria and Windurst (tie)
3rd: Bastok≺Prompt≻
";text;DialogTableEntry;
26;index;DialogTableEntry;
"Global balance of power:
1st: Windurst
2nd: San d'Oria and Bastok (tie)≺Prompt≻
";text;DialogTableEntry;
27;index;DialogTableEntry;
"Global balance of power:
1st: Windurst
2nd: Bastok
3rd: San d'Oria≺Prompt≻
";text;DialogTableEntry;
28;index;DialogTableEntry;
"All three nations are tied for first place.≺Prompt≻
";text;DialogTableEntry;
29;index;DialogTableEntry;
"Global balance of power:
1st: Bastok and Windurst
2nd: San d'Oria≺Prompt≻
";text;DialogTableEntry;
30;index;DialogTableEntry;
"Global balance of power:
1st: Windurst
2nd: San d'Oria and Bastok≺Prompt≻
";text;DialogTableEntry;
31;index;DialogTableEntry;
"Conquest update:
This region is currently neutral.≺Prompt≻
";text;DialogTableEntry;
32;index;DialogTableEntry;
"Conquest update:
This region is currently under San d'Orian control.≺Prompt≻
";text;DialogTableEntry;
33;index;DialogTableEntry;
